# tracer: nop
#
# entries-in-buffer/entries-written: 2022/2022   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .Ns. 227544.012682: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d53be9 snd_una=0xa3d53bc5 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1688 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 227553.054853: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc5c67 snd_una=0xdecb6ed7 snd_cwnd=42 ssthresh=2147483647 snd_wnd=67072 srtt=580667 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.067025: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc67b7 snd_una=0xdecb747f snd_cwnd=43 ssthresh=2147483647 snd_wnd=69888 srtt=591850 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.078946: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc7307 snd_una=0xdecb7a27 snd_cwnd=44 ssthresh=2147483647 snd_wnd=72832 srtt=603157 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.091055: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc78af snd_una=0xdecb7fcf snd_cwnd=44 ssthresh=44 snd_wnd=75776 srtt=611179 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] .Ns. 227553.103779: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc7e57 snd_una=0xdecb8577 snd_cwnd=44 ssthresh=44 snd_wnd=78592 srtt=619711 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.115277: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc83ff snd_una=0xdecb8577 snd_cwnd=44 ssthresh=44 snd_wnd=81536 srtt=628767 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.127352: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc89a7 snd_una=0xdecb8577 snd_cwnd=44 ssthresh=44 snd_wnd=84480 srtt=634785 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.139240: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc89a7 snd_una=0xdecb8577 snd_cwnd=43 ssthresh=30 snd_wnd=87296 srtt=641560 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.151533: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc8f4f snd_una=0xdecb8577 snd_cwnd=43 ssthresh=30 snd_wnd=90240 srtt=648975 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.184658: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc94f7 snd_una=0xdecb8577 snd_cwnd=43 ssthresh=30 snd_wnd=93056 srtt=656999 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.196613: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc94f7 snd_una=0xdecb8577 snd_cwnd=42 ssthresh=30 snd_wnd=96000 srtt=664293 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.208666: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecc9a9f snd_una=0xdecb8577 snd_cwnd=42 ssthresh=30 snd_wnd=98944 srtt=672170 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.220796: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecca047 snd_una=0xdecb8577 snd_cwnd=42 ssthresh=30 snd_wnd=101760 srtt=680569 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.305681: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecca047 snd_una=0xdecb8577 snd_cwnd=41 ssthresh=30 snd_wnd=104704 srtt=689434 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.319467: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdecca5ef snd_una=0xdecb8577 snd_cwnd=41 ssthresh=30 snd_wnd=107648 srtt=700935 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.330162: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccab97 snd_una=0xdecb8577 snd_cwnd=41 ssthresh=30 snd_wnd=110464 srtt=712722 rcv_wnd=65024 sock_cookie=74
          <idle>-0       [001] ..s. 227553.342502: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:49572 mark=0x0 data_len=0 snd_nxt=0xdeccab97 snd_una=0xdecb8577 snd_cwnd=40 ssthresh=30 snd_wnd=113408 srtt=724372 rcv_wnd=65024 sock_cookie=74
