# tracer: nop
#
# entries-in-buffer/entries-written: 4728/4728   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 235021.028470: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40e73b snd_una=0xfe40542b snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=848068 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.052492: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40f28b snd_una=0xfe405f7b snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=862030 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.078749: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe40fddb snd_una=0xfe406acb snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=875695 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.089781: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=13 snd_nxt=0xfe41092b snd_una=0xfe40761b snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=889422 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.113405: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe410ed3 snd_una=0xfe407bc3 snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=901340 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.137829: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe411a23 snd_una=0xfe408713 snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=914721 rcv_wnd=65024 sock_cookie=7c
     quic_server-16478   [000] ..s. 235021.194067: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe411fcb snd_una=0xfe409263 snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=927957 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.907010: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe412b1b snd_una=0xfe40980b snd_cwnd=26 ssthresh=26 snd_wnd=64128 srtt=945037 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] .Ns. 235021.930006: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe41366b snd_una=0xfe40a35b snd_cwnd=26 ssthresh=26 snd_wnd=67072 srtt=954371 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.941716: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe413c13 snd_una=0xfe40a903 snd_cwnd=26 ssthresh=26 snd_wnd=69888 srtt=964044 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.963919: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4141bb snd_una=0xfe40aeab snd_cwnd=26 ssthresh=26 snd_wnd=72832 srtt=973971 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.976274: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe414763 snd_una=0xfe40b453 snd_cwnd=26 ssthresh=26 snd_wnd=75776 srtt=980850 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.988423: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4152b3 snd_una=0xfe40b9fb snd_cwnd=27 ssthresh=26 snd_wnd=78592 srtt=988413 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235021.999987: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe41585b snd_una=0xfe40bfa3 snd_cwnd=27 ssthresh=26 snd_wnd=81536 srtt=996549 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.022383: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe415e03 snd_una=0xfe40c54b snd_cwnd=27 ssthresh=26 snd_wnd=84480 srtt=1005114 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.034906: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4163ab snd_una=0xfe40caf3 snd_cwnd=27 ssthresh=26 snd_wnd=87296 srtt=1011078 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.046849: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe416953 snd_una=0xfe40d09b snd_cwnd=27 ssthresh=26 snd_wnd=90240 srtt=1017863 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.059481: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe416efb snd_una=0xfe40d643 snd_cwnd=27 ssthresh=26 snd_wnd=93056 srtt=1025292 rcv_wnd=65024 sock_cookie=7c
     ksoftirqd/0-9       [000] ..s. 235022.092277: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4174a3 snd_una=0xfe40dbeb snd_cwnd=27 ssthresh=26 snd_wnd=96000 srtt=1033371 rcv_wnd=65024 sock_cookie=7c
     quic_server-16478   [000] ..s. 235022.103418: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe417a4b snd_una=0xfe40e193 snd_cwnd=27 ssthresh=26 snd_wnd=98944 srtt=1040163 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.116457: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe417ff3 snd_una=0xfe40e73b snd_cwnd=27 ssthresh=26 snd_wnd=101760 srtt=1047498 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.128070: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe41859b snd_una=0xfe40ece3 snd_cwnd=27 ssthresh=26 snd_wnd=104704 srtt=1052558 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.140488: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe418b43 snd_una=0xfe40f28b snd_cwnd=27 ssthresh=26 snd_wnd=107648 srtt=1058437 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.151680: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=0 snd_nxt=0xfe4190eb snd_una=0xfe40f833 snd_cwnd=27 ssthresh=26 snd_wnd=110464 srtt=1062132 rcv_wnd=65024 sock_cookie=7c
          <idle>-0       [000] ..s. 235022.154046: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:53512 mark=0x0 data_len=13 snd_nxt=0xfe419693 snd_una=0xfe40fddb snd_cwnd=27 ssthresh=26 snd_wnd=113408 srtt=1066763 rcv_wnd=65024 sock_cookie=7c
