# tracer: nop
#
# entries-in-buffer/entries-written: 4207/4207   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 230748.080963: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbb74b snd_una=0x73dacf63 snd_cwnd=41 ssthresh=41 snd_wnd=87296 srtt=210495 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] .Ns. 230748.093688: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbbcf3 snd_una=0x73dad50b snd_cwnd=41 ssthresh=41 snd_wnd=90240 srtt=215772 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.105022: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbc29b snd_una=0x73dadab3 snd_cwnd=41 ssthresh=41 snd_wnd=93056 srtt=221980 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.117362: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbc843 snd_una=0x73dae05b snd_cwnd=41 ssthresh=41 snd_wnd=96000 srtt=225945 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.129355: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbcdeb snd_una=0x73dae603 snd_cwnd=41 ssthresh=41 snd_wnd=98944 srtt=230956 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.154051: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbd393 snd_una=0x73daebab snd_cwnd=41 ssthresh=41 snd_wnd=98944 srtt=236840 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.177833: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbdee3 snd_una=0x73daf6fb snd_cwnd=41 ssthresh=41 snd_wnd=98944 srtt=245076 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.202269: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbea33 snd_una=0x73db024b snd_cwnd=41 ssthresh=41 snd_wnd=98944 srtt=252216 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.214231: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbf583 snd_una=0x73db0d9b snd_cwnd=41 ssthresh=41 snd_wnd=101888 srtt=261519 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.227332: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dbfb2b snd_una=0x73db1343 snd_cwnd=41 ssthresh=41 snd_wnd=104704 srtt=268187 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.238586: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dc00d3 snd_una=0x73db18eb snd_cwnd=41 ssthresh=41 snd_wnd=107648 srtt=275660 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.250425: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dc067b snd_una=0x73db1e93 snd_cwnd=41 ssthresh=41 snd_wnd=110464 srtt=283605 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.262764: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dc0c23 snd_una=0x73db243b snd_cwnd=41 ssthresh=41 snd_wnd=113408 srtt=288959 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.264786: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=13 snd_nxt=0x73dc11cb snd_una=0x73db29e3 snd_cwnd=41 ssthresh=41 snd_wnd=116352 srtt=295186 rcv_wnd=65024 sock_cookie=7b
          <idle>-0       [000] ..s. 230748.286855: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:59898 mark=0x0 data_len=0 snd_nxt=0x73dc11cb snd_una=0x73db29e3 snd_cwnd=41 ssthresh=41 snd_wnd=116352 srtt=295186 rcv_wnd=65024 sock_cookie=7b
