# tracer: nop
#
# entries-in-buffer/entries-written: 1993/1993   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .... 229186.902148: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d5ad21 snd_una=0xa3d5acfd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1668 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] ..s. 229194.271574: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac6a5f snd_una=0xb4abdcf7 snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=275873 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.298918: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=13 snd_nxt=0xb4ac75af snd_una=0xb4abe847 snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=296198 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.344194: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac7b57 snd_una=0xb4abedef snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=314413 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.394414: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac86a7 snd_una=0xb4abf93f snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=333006 rcv_wnd=65024 sock_cookie=76
     quic_server-16018   [001] ..s1 229194.489972: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac91f7 snd_una=0xb4ac048f snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=352409 rcv_wnd=65024 sock_cookie=76
     quic_server-16018   [001] ..s. 229194.540462: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ac9d47 snd_una=0xb4ac0fdf snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=378458 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.587366: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4aca897 snd_una=0xb4ac1b2f snd_cwnd=25 ssthresh=25 snd_wnd=66176 srtt=404433 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.635654: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acb3e7 snd_una=0xb4ac267f snd_cwnd=26 ssthresh=25 snd_wnd=66176 srtt=429803 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.661469: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acbf37 snd_una=0xb4ac31cf snd_cwnd=26 ssthresh=25 snd_wnd=66176 srtt=451927 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229194.684589: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4acca87 snd_una=0xb4ac3777 snd_cwnd=26 ssthresh=25 snd_wnd=68992 srtt=474512 rcv_wnd=65024 sock_cookie=76
