# tracer: nop
#
# entries-in-buffer/entries-written: 12461/40776   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] ..s. 218551.001578: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=36 snd_nxt=0x81da4121 snd_una=0x81da4121 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1754 rcv_wnd=62780 sock_cookie=6a
            sshd-14994   [000] .... 218551.012942: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:56538 mark=0x0 data_len=0 snd_nxt=0x81da4145 snd_una=0x81da4121 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1754 rcv_wnd=62780 sock_cookie=6a
          <idle>-0       [000] ..s. 218598.538246: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385df3a snd_una=0xf385df3a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1373 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 218598.540680: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385df5e snd_una=0xf385df3a snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1373 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218598.778702: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385df5e snd_una=0xf385df5e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1375 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] .... 218598.781423: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385df82 snd_una=0xf385df5e snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1375 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218598.886381: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385df82 snd_una=0xf385df82 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1427 rcv_wnd=62780 sock_cookie=6d
            sshd-14793   [000] ..s. 218598.889023: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385dfa6 snd_una=0xf385df82 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1427 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218598.983174: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=36 snd_nxt=0xf385dfa6 snd_una=0xf385dfa6 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1461 rcv_wnd=62780 sock_cookie=6d
          <idle>-0       [000] ..s. 218598.985434: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:43436 mark=0x0 data_len=0 snd_nxt=0xf385dfca snd_una=0xf385dfa6 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1461 rcv_wnd=62780 sock_cookie=6d
