# tracer: nop
#
# entries-in-buffer/entries-written: 1798/1798   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
     ksoftirqd/0-9       [000] ..s. 160003.176159: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84fd025 snd_una=0xf84e5352 snd_cwnd=91 ssthresh=91 snd_wnd=226176 srtt=4666 rcv_wnd=65024 sock_cookie=68
     ksoftirqd/0-9       [000] ..s. 160003.176302: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf84fd3d0 snd_una=0xf84ee662 snd_cwnd=91 ssthresh=91 snd_wnd=301440 srtt=4397 rcv_wnd=65024 sock_cookie=68
     kworker/0:1-11281   [000] ..s. 160003.184937: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf850eea0 snd_una=0xf84f53b5 snd_cwnd=91 ssthresh=91 snd_wnd=357376 srtt=4157 rcv_wnd=65024 sock_cookie=68
     kworker/0:1-11281   [000] ..s. 160003.185345: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf851d0e0 snd_una=0xf84fd025 snd_cwnd=91 ssthresh=91 snd_wnd=421120 srtt=4781 rcv_wnd=65024 sock_cookie=68
     kworker/0:1-11281   [000] ..s. 160003.185360: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf851d0e0 snd_una=0xf8506138 snd_cwnd=92 ssthresh=91 snd_wnd=496384 srtt=5331 rcv_wnd=65024 sock_cookie=68
     kworker/0:1-11281   [000] ..s. 160003.185368: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf851d0e0 snd_una=0xf850bbb8 snd_cwnd=93 ssthresh=91 snd_wnd=542720 srtt=5692 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.188858: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf852b8c8 snd_una=0xf850eea0 snd_cwnd=93 ssthresh=91 snd_wnd=568832 srtt=6008 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.188988: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf8532440 snd_una=0xf8515470 snd_cwnd=94 ssthresh=91 snd_wnd=620928 srtt=5747 rcv_wnd=65024 sock_cookie=68
          <idle>-0       [000] ..s. 160003.190651: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf853c2a0 snd_una=0xf851d0e0 snd_cwnd=95 ssthresh=91 snd_wnd=668544 srtt=5534 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.192374: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf85455b0 snd_una=0xf85236b0 snd_cwnd=96 ssthresh=91 snd_wnd=668544 srtt=5278 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.192385: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf85455b0 snd_una=0xf85252f8 snd_cwnd=96 ssthresh=91 snd_wnd=683008 srtt=5144 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.195384: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf854dd70 snd_una=0xf852b8c8 snd_cwnd=97 ssthresh=91 snd_wnd=684928 srtt=5028 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.195646: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf855cb00 snd_una=0xf8545008 snd_cwnd=101 ssthresh=91 snd_wnd=619904 srtt=5214 rcv_wnd=65024 sock_cookie=68
          <idle>-0       [000] ..s. 160003.199713: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf856cf30 snd_una=0xf854d220 snd_cwnd=102 ssthresh=91 snd_wnd=633344 srtt=4988 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.200301: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf8571310 snd_una=0xf854dd70 snd_cwnd=102 ssthresh=91 snd_wnd=690688 srtt=4922 rcv_wnd=65024 sock_cookie=68
         apache2-7207    [001] .... 160003.200536: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf857d360 snd_una=0xf855cb00 snd_cwnd=104 ssthresh=91 snd_wnd=685952 srtt=4920 rcv_wnd=65024 sock_cookie=68
          <idle>-0       [000] ..s. 160003.202705: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf8584a28 snd_una=0xf8564770 snd_cwnd=105 ssthresh=91 snd_wnd=685952 srtt=4663 rcv_wnd=65024 sock_cookie=68
          <idle>-0       [000] ..s. 160003.203558: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:45530 mark=0x0 data_len=0 snd_nxt=0xf858dd38 snd_una=0xf856cf30 snd_cwnd=106 ssthresh=91 snd_wnd=684032 srtt=4710 rcv_wnd=65024 sock_cookie=68
