# tracer: nop
#
# entries-in-buffer/entries-written: 12429/47603   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-11586   [001] .... 160406.469858: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:39774 mark=0x0 data_len=0 snd_nxt=0x214ceac1 snd_una=0x214cea9d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1588 rcv_wnd=62687 sock_cookie=66
          <idle>-0       [000] ..s. 161060.893763: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f509076 snd_una=0x7f4e7176 snd_cwnd=96 ssthresh=95 snd_wnd=3144704 srtt=1588262 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.917888: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f509bc6 snd_una=0x7f4e7cc6 snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1584829 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.942102: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50a716 snd_una=0x7f4e8816 snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1580316 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.966246: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50b266 snd_una=0x7f4e9366 snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1574865 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161060.990456: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50bdb6 snd_una=0x7f4e9eb6 snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1568597 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.014615: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50c906 snd_una=0x7f4eaa06 snd_cwnd=97 ssthresh=95 snd_wnd=3144704 srtt=1561619 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.038741: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50dfa6 snd_una=0x7f4eb556 snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1553931 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.063398: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50eaf6 snd_una=0x7f4ec0a6 snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1547163 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.087194: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f50f646 snd_una=0x7f4ecbf6 snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1539807 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.111291: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f510196 snd_una=0x7f4ed746 snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1531805 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.135542: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f510ce6 snd_una=0x7f4ee296 snd_cwnd=98 ssthresh=95 snd_wnd=3144704 srtt=1523237 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.159877: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f511836 snd_una=0x7f4eede6 snd_cwnd=99 ssthresh=95 snd_wnd=3144704 srtt=1514302 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.183957: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f512386 snd_una=0x7f4ef936 snd_cwnd=99 ssthresh=95 snd_wnd=3144704 srtt=1504909 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.208089: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f512ed6 snd_una=0x7f4f0486 snd_cwnd=99 ssthresh=95 snd_wnd=3144704 srtt=1495181 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.232724: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f513a26 snd_una=0x7f4f0fd6 snd_cwnd=99 ssthresh=95 snd_wnd=3144704 srtt=1486641 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.256836: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f514576 snd_una=0x7f4f1b26 snd_cwnd=99 ssthresh=95 snd_wnd=3144704 srtt=1477595 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.280769: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f515c16 snd_una=0x7f4f2676 snd_cwnd=100 ssthresh=95 snd_wnd=3144704 srtt=1468280 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.305201: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f516766 snd_una=0x7f4f31c6 snd_cwnd=100 ssthresh=95 snd_wnd=3144704 srtt=1458611 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.328797: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5172b6 snd_una=0x7f4f3d16 snd_cwnd=100 ssthresh=95 snd_wnd=3144704 srtt=1448643 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] .Ns. 161061.354694: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f517e06 snd_una=0x7f4f4866 snd_cwnd=100 ssthresh=95 snd_wnd=3144704 srtt=1438373 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.378670: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f518956 snd_una=0x7f4f53b6 snd_cwnd=100 ssthresh=95 snd_wnd=3144704 srtt=1428047 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.402664: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5194a6 snd_una=0x7f4f5f06 snd_cwnd=101 ssthresh=95 snd_wnd=3144704 srtt=1417466 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.426419: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f519ff6 snd_una=0x7f4f6a56 snd_cwnd=101 ssthresh=95 snd_wnd=3144704 srtt=1408164 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.450779: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51ab46 snd_una=0x7f4f75a6 snd_cwnd=101 ssthresh=95 snd_wnd=3144704 srtt=1398450 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.474881: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51b696 snd_una=0x7f4f80f6 snd_cwnd=101 ssthresh=95 snd_wnd=3144704 srtt=1388524 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.499068: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51c1e6 snd_una=0x7f4f8c46 snd_cwnd=101 ssthresh=95 snd_wnd=3144704 srtt=1378250 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.523299: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51d886 snd_una=0x7f4f9796 snd_cwnd=102 ssthresh=95 snd_wnd=3144704 srtt=1367139 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.547512: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51e3d6 snd_una=0x7f4fa2e6 snd_cwnd=102 ssthresh=95 snd_wnd=3144704 srtt=1356580 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.571645: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51ef26 snd_una=0x7f4fae36 snd_cwnd=102 ssthresh=95 snd_wnd=3144704 srtt=1345785 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.595963: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f51fa76 snd_una=0x7f4fb986 snd_cwnd=102 ssthresh=95 snd_wnd=3144704 srtt=1336362 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.619859: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5205c6 snd_una=0x7f4fc4d6 snd_cwnd=102 ssthresh=95 snd_wnd=3144704 srtt=1326576 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.644287: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f521116 snd_una=0x7f4fd026 snd_cwnd=102 ssthresh=95 snd_wnd=3144704 srtt=1316508 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.668440: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f521c66 snd_una=0x7f4fdb76 snd_cwnd=103 ssthresh=95 snd_wnd=3144704 srtt=1306240 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.693277: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5227b6 snd_una=0x7f4fe6c6 snd_cwnd=103 ssthresh=95 snd_wnd=3144704 srtt=1295624 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.717450: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f523306 snd_una=0x7f4ff216 snd_cwnd=103 ssthresh=95 snd_wnd=3144704 srtt=1284882 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.741279: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f523e56 snd_una=0x7f4ffd66 snd_cwnd=103 ssthresh=95 snd_wnd=3144704 srtt=1273967 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] .Ns. 161061.765770: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5249a6 snd_una=0x7f5008b6 snd_cwnd=103 ssthresh=95 snd_wnd=3144704 srtt=1263715 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.789898: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f526046 snd_una=0x7f501406 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1253972 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.813939: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f526b96 snd_una=0x7f501f56 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1242323 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.837887: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52713e snd_una=0x7f502aa6 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1232109 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.862168: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f527c8e snd_una=0x7f5035f6 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1223353 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.886188: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f5287de snd_una=0x7f504146 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1215620 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.910413: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52932e snd_una=0x7f504c96 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1208918 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.934756: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f529e7e snd_una=0x7f5057e6 snd_cwnd=104 ssthresh=95 snd_wnd=3144704 srtt=1202994 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.959234: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52b51e snd_una=0x7f506336 snd_cwnd=105 ssthresh=95 snd_wnd=3144704 srtt=1197892 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161061.983299: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52c06e snd_una=0x7f506e86 snd_cwnd=105 ssthresh=95 snd_wnd=3144704 srtt=1194977 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161062.007462: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52cbbe snd_una=0x7f5079d6 snd_cwnd=105 ssthresh=95 snd_wnd=3144704 srtt=1192403 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161062.031756: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52d70e snd_una=0x7f508526 snd_cwnd=105 ssthresh=95 snd_wnd=3144704 srtt=1190122 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161062.055920: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52e25e snd_una=0x7f509076 snd_cwnd=105 ssthresh=95 snd_wnd=3144704 srtt=1186546 rcv_wnd=65024 sock_cookie=69
          <idle>-0       [000] ..s. 161062.080125: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:51622 mark=0x0 data_len=0 snd_nxt=0x7f52edae snd_una=0x7f509bc6 snd_cwnd=105 ssthresh=95 snd_wnd=3144704 srtt=1183496 rcv_wnd=65024 sock_cookie=69
